step,agent_loc,target_loc,item_locs,item_times,reward,agent_load
266,"(0, 0)","(2, 0)","[(4, 4), (2, 4), (0, 1)]","[8, 7, 3]",-1,0
267,"(0, 1)","(2, 0)","[(4, 4), (2, 4)]","[9, 8]",6.5,1
268,"(1, 1)","(2, 0)","[(2, 4)]",[9],-1,1
269,"(1, 0)","(2, 0)","[(0, 3), (3, 4)]","[0, 0]",-1,1
270,"(2, 0)","(2, 0)","[(0, 3), (3, 4)]","[1, 1]",6.5,0
271,"(2, 1)","(2, 0)","[(0, 3), (3, 4)]","[2, 2]",-1,0
272,"(1, 1)","(2, 0)","[(0, 3), (3, 4)]","[3, 3]",-1,0
273,"(1, 2)","(2, 0)","[(0, 3), (3, 4), (2, 4)]","[4, 4, 0]",-1,0
274,"(1, 3)","(2, 0)","[(0, 3), (3, 4), (2, 4), (2, 2)]","[5, 5, 1, 0]",-1,0
275,"(0, 3)","(2, 0)","[(3, 4), (2, 4), (2, 2)]","[6, 2, 1]",6.5,1
276,"(0, 2)","(2, 0)","[(3, 4), (2, 4), (2, 2)]","[7, 3, 2]",-1,1
277,"(0, 1)","(2, 0)","[(3, 4), (2, 4), (2, 2)]","[8, 4, 3]",-1,1
278,"(0, 0)","(2, 0)","[(3, 4), (2, 4), (2, 2)]","[9, 5, 4]",-1,1
279,"(1, 0)","(2, 0)","[(2, 4), (2, 2)]","[6, 5]",-1,1
280,"(2, 0)","(2, 0)","[(2, 4), (2, 2)]","[7, 6]",6.5,0
281,"(2, 1)","(2, 0)","[(2, 4), (2, 2)]","[8, 7]",-1,0
282,"(2, 2)","(2, 0)","[(2, 4)]",[9],6.5,1
283,"(2, 1)","(2, 0)",[],[],-1,1
284,"(2, 0)","(2, 0)",[],[],6.5,0
285,"(3, 0)","(2, 0)","[(3, 2)]",[0],-1,0
286,"(3, 1)","(2, 0)","[(3, 2)]",[1],-1,0
287,"(3, 2)","(2, 0)",[],[],6.5,1
288,"(3, 1)","(2, 0)",[],[],-1,1
289,"(2, 1)","(2, 0)",[],[],-1,1
290,"(2, 0)","(2, 0)",[],[],6.5,0
291,"(2, 1)","(2, 0)",[],[],-1,0
292,"(2, 2)","(2, 0)",[],[],-1,0
293,"(1, 2)","(2, 0)",[],[],-1,0
294,"(0, 2)","(2, 0)",[],[],-1,0
295,"(0, 2)","(2, 0)",[],[],0,0
296,"(0, 2)","(2, 0)","[(0, 1), (3, 1)]","[0, 0]",0,0
297,"(1, 2)","(2, 0)","[(0, 1), (3, 1)]","[1, 1]",-1,0
298,"(0, 2)","(2, 0)","[(0, 1), (3, 1)]","[2, 2]",-1,0
299,"(0, 2)","(2, 0)","[(0, 1), (3, 1)]","[3, 3]",0,0
300,"(0, 2)","(2, 0)","[(0, 1), (3, 1)]","[4, 4]",0,0
301,"(0, 2)","(2, 0)","[(0, 1), (3, 1), (0, 4)]","[5, 5, 0]",0,0
302,"(0, 1)","(2, 0)","[(3, 1), (0, 4)]","[6, 1]",6.5,1
303,"(0, 0)","(2, 0)","[(3, 1), (0, 4)]","[7, 2]",-1,1
304,"(1, 0)","(2, 0)","[(3, 1), (0, 4)]","[8, 3]",-1,1
305,"(2, 0)","(2, 0)","[(3, 1), (0, 4)]","[9, 4]",6.5,0
306,"(1, 0)","(2, 0)","[(0, 4)]",[5],-1,0
307,"(1, 1)","(2, 0)","[(0, 4)]",[6],-1,0
308,"(1, 2)","(2, 0)","[(0, 4)]",[7],-1,0
309,"(1, 3)","(2, 0)","[(0, 4)]",[8],-1,0
310,"(0, 3)","(2, 0)","[(0, 4)]",[9],-1,0
311,"(0, 4)","(2, 0)",[],[],6.5,1
312,"(0, 3)","(2, 0)",[],[],-1,1
313,"(0, 2)","(2, 0)",[],[],-1,1
314,"(0, 1)","(2, 0)",[],[],-1,1
315,"(0, 0)","(2, 0)","[(1, 1)]",[0],-1,1
316,"(1, 0)","(2, 0)","[(1, 1)]",[1],-1,1
317,"(2, 0)","(2, 0)","[(1, 1)]",[2],6.5,0
318,"(1, 0)","(2, 0)","[(1, 1)]",[3],-1,0
319,"(1, 1)","(2, 0)",[],[],6.5,1
320,"(1, 0)","(2, 0)",[],[],-1,1
