step,agent_loc,target_loc,item_locs,item_times,reward,agent_load,action_probs
69,"(3, 3)","(2, 0)","[(2, 3), (2, 1), (4, 1)]","[8, 1, 0]",-1,1,"[0.00019546286785043776, 0.998460054397583, 0.0012165030930191278, 4.6571372536163835e-07, 0.00012758288357872516]"
70,"(2, 3)","(2, 0)","[(2, 1), (4, 1)]","[2, 1]",6.5,2,"[4.860257377004018e-06, 5.8980509493267164e-05, 5.66782496491669e-08, 6.991355621721596e-05, 0.9998661279678345]"
71,"(2, 2)","(2, 0)","[(2, 1), (4, 1)]","[3, 2]",-1,2,"[1.5766170690767467e-05, 0.00011198173160664737, 2.8734518764395034e-06, 0.0007255213567987084, 0.9991438388824463]"
72,"(2, 1)","(2, 0)","[(4, 1), (4, 3)]","[3, 0]",6.5,3,"[2.5937928512576036e-05, 7.389437087113038e-05, 8.301708476210479e-06, 0.0015091410605236888, 0.9983826875686646]"
73,"(2, 0)","(2, 0)","[(4, 1), (4, 3)]","[4, 1]",21.5,0,"[1.5646628526155837e-06, 2.746008576082204e-08, 0.3049793243408203, 0.6950179934501648, 1.0993126124958508e-06]"
74,"(2, 1)","(2, 0)","[(4, 1), (4, 3)]","[5, 2]",-1,0,"[7.196540536824614e-07, 6.62189969524718e-10, 0.14747749269008636, 0.8525201082229614, 1.6479299347338383e-06]"
75,"(3, 1)","(2, 0)","[(4, 1), (4, 3)]","[6, 3]",-1,0,"[1.5196562344499398e-05, 9.61540536081884e-08, 0.008110844530165195, 0.9915785789489746, 0.00029530542087741196]"
76,"(4, 1)","(2, 0)","[(4, 3)]",[4],6.5,1,"[4.017038372694515e-05, 0.0005591338267549872, 0.9857024550437927, 0.013695529662072659, 2.717879169722437e-06]"
77,"(4, 2)","(2, 0)","[(4, 3)]",[5],-1,1,"[5.763934677815996e-05, 0.00017807890253607184, 0.993937611579895, 0.005812439601868391, 1.4171437214827165e-05]"
78,"(4, 3)","(2, 0)",[],[],6.5,2,"[3.287652361905202e-05, 0.7826324105262756, 4.812666816178535e-07, 5.06592243709747e-07, 0.21733373403549194]"
79,"(4, 2)","(2, 0)","[(1, 3)]",[0],-1,2,"[2.6988120680471184e-06, 0.9971466660499573, 0.002850413555279374, 2.7701008153968587e-09, 2.9665693546121474e-07]"
80,"(3, 2)","(2, 0)","[(1, 3)]",[1],-1,2,"[7.0293999669956975e-06, 0.9920661449432373, 0.00792607944458723, 5.0501691717386166e-09, 6.737352578056743e-07]"
81,"(2, 2)","(2, 0)","[(1, 3)]",[2],-1,2,"[0.00015262604574672878, 0.2469162940979004, 0.7529168725013733, 1.964317107194802e-06, 1.2199090633657761e-05]"
82,"(2, 3)","(2, 0)","[(1, 3), (3, 4)]","[3, 0]",-1,2,"[0.00018136174185201526, 0.9962809681892395, 0.0021195251028984785, 8.467259817734885e-07, 0.0014173996169120073]"
83,"(1, 3)","(2, 0)","[(3, 4)]",[1],6.5,3,"[2.230568861705251e-05, 5.547244199988199e-06, 3.799411160798627e-06, 0.09137521684169769, 0.9085931181907654]"
84,"(1, 2)","(2, 0)","[(3, 4)]",[2],-1,3,"[9.662366210250184e-06, 2.5862715347102494e-07, 1.3705843230127357e-05, 0.9056656956672668, 0.0943107157945633]"
85,"(2, 2)","(2, 0)","[(3, 4), (1, 2)]","[3, 0]",-1,3,"[1.1050552757296828e-06, 1.822342528612353e-05, 6.988980771893694e-08, 8.075317600741982e-05, 0.9998998641967773]"
86,"(2, 1)","(2, 0)","[(3, 4), (1, 2), (0, 1)]","[4, 1, 0]",-1,3,"[2.5937928512576036e-05, 7.389437087113038e-05, 8.301708476210479e-06, 0.0015091410605236888, 0.9983826875686646]"
87,"(2, 0)","(2, 0)","[(3, 4), (1, 2), (0, 1)]","[5, 2, 1]",21.5,0,"[9.418286208529025e-05, 0.42937004566192627, 0.5701959133148193, 0.00033824125421233475, 1.5503891290791216e-06]"
88,"(1, 0)","(2, 0)","[(3, 4), (1, 2), (0, 1)]","[6, 3, 2]",-1,0,"[0.0004843738570343703, 0.0054534850642085075, 0.4767378866672516, 0.5172913670539856, 3.283801197540015e-05]"
89,"(1, 1)","(2, 0)","[(3, 4), (1, 2), (0, 1)]","[7, 4, 3]",-1,0,"[5.714285362046212e-05, 3.297867806395516e-05, 0.9931564927101135, 0.006753047928214073, 3.0488803304251633e-07]"
90,"(1, 2)","(2, 0)","[(3, 4), (0, 1), (4, 4)]","[8, 4, 0]",6.5,1,"[2.2049576728022657e-05, 0.9859917759895325, 1.057558392858482e-06, 4.1205094447605006e-08, 0.01398503128439188]"
91,"(0, 2)","(2, 0)","[(3, 4), (0, 1), (4, 4)]","[9, 5, 1]",-1,1,"[0.00019634001364465803, 0.0019089429406449199, 1.0680397281248588e-05, 0.000700945092830807, 0.997183084487915]"
92,"(0, 1)","(2, 0)","[(4, 4)]",[2],6.5,2,"[6.626295316891628e-07, 1.1211558348378503e-09, 0.8728746175765991, 0.12712471187114716, 3.5040814694298206e-09]"
93,"(0, 2)","(2, 0)","[(4, 4)]",[3],-1,2,"[3.275144990766421e-07, 1.030552795877604e-10, 0.698789656162262, 0.3012099862098694, 2.3432868978545685e-09]"
